Project,hole_id,y,x,z,max_depth
CM,CM06,8715608.941,559037.842,1250.074,55
CM,CM07,8715550.71,559062.455,1248.66,40
CM,CM09,8715585.39,559079.912,1250.089,60
CM,CM10,8715613.343,559095.373,1255.485,70
CM,CM12,8715533.438,559109.263,1252.218,50
CM,CM13,8715563.851,559126.023,1251.901,50
CM,CM15,8715586.566,559138.008,1252.643,52
CM,CM16,8715609.291,559149.956,1255.244,60
CM,CM17,8715481.272,559136.054,1247.089,50.5
CM,CM19,8715518.723,559156.998,1252.043,95
CM,CM21,8715563.056,559183.201,1255.051,71.5
CM,CM23,8715592.909,559200.3,1255.148,65.5
CM,CM29,8715530.702,559222.186,1251.948,61
CM,CM31,8715560.463,559237.535,1255.005,70
CM,CM33,8715596.794,559256.51,1255.236,56.5
CM,CM34,8715425.112,559277.757,1235.026,65.5
CM,CM36,8715472.829,559304.73,1242.46,65.5
CM,CM37,8715493.304,559313.4,1242.704,62.5
CM,CM40,8715379.953,559311.13,1234.957,37.2
CM,CM43,8715448.974,559348.945,1241.79,50.5
CM,CM44,8715496.643,559375.554,1242.505,71.5
CM,CM49,8715389.96,559372.648,1242.215,71.5
CM,CM51,8715431.138,559395.182,1242.871,50.5
CM,CM52,8715458.89,559411.042,1242.559,50.5
CM,CM55,8715508.751,559437.747,1247.664,65.5
CM,CM57,8715355,559410.996,1237.645,60.5
CM,CM58,8715375.95,559421.989,1237.62,83.5
CM,CM64,8715320.922,559447.335,1239.983,53.5
MR,MR 10,8715634.065,558820.402,1283,64
MR,MR 102,8714812.825,559916.475,1274,63
MR,MR 103,8714716.897,559906.33,1275,91
MR,MR 104,8714833.647,560022.445,1273,60
MR,MR 105,8714613.932,559922.159,1275,196.8
MR,MR 106,8714710.698,560035.245,1272,82
MR,MR 107,8714752.639,560057.298,1272,40
MR,MR 109,8714696.656,560067.204,1271,80
MR,MR 11,8715695.974,558855.479,1282,77
MR,MR 113,8714586.638,560120.001,1268,51
MR,MR 17,8715639.869,558943.34,1281,91
MR,MR 19,8715623.809,558987.289,1280,70
MR,MR 20,8715626.709,559050.257,1283,305
MR,MR 24,8715641.516,559167.212,1280,60
MR,MR 25,8715302.829,559093.723,1282,221
MR,MR 26,8715452.073,559520.708,1280,34
MR,MR 27,8715565.268,559353.983,1277,57
MR,MR 28,8715214.687,559217.513,1280,231
MR,MR 31,8715144.604,559296.357,1281,176
MR,MR 32,8715533.053,559502.846,1280,50
MR,MR 33,8715136.439,559404.281,1280,127
MR,MR 34,8715359.234,559526.034,1273.5,50
MR,MR 35,8715222.215,559515.351,1275,70
MR,MR 36,8715315.089,559561.469,1274,51
MR,MR 37,8715614.465,559210.144,1278,60
MR,MR 40,8715662.243,558696.519,1285,61
MR,MR 41,8715501.16,558809.2,1285,70
MR,MR 42,8715452.154,558831.111,1285,70
MR,MR 56,8715196.909,559720.191,1275,62
MR,MR 57,8715131.001,559686.108,1276,21
MR,MR 58,8715150.972,559697.133,1276,49
MR,MR 62,8715104.942,559733.04,1275,60
MR,MR 63,8715130.907,559746.073,1276,60
MR,MR 66,8715124.83,559797.034,1275,57
MR,MR 69,8715098.758,559852.96,1275,60
MR,MR 70,8714896.967,559794.678,1277,92
MR,MR 72,8714950.893,559821.746,1276,80
MR,MR 73,8715051.779,559856.884,1275,70
MR,MR 74,8715077.717,559886.907,1274,44
MR,MR 75,8714908.866,559854.661,1276,65
MR,MR 77,8715007.725,559907.785,1274,51
MR,MR 78,8715054.664,559928.847,1275,70
MR,MR 79,8714945.735,559924.678,1275,65
OXS,OXS02,8714827.407,559912.603,1251.87,80
OXS,OXS04,8714760.322,559882.58,1245.463,154
OXY,OXY02,8715050.369,559585.493,1251,150
OXY,OXY08,8715038.439,559756.261,1238,155
RPD,RPD01,8715625.663,558873.71,1245.27,100
RPD,RPD03,8715585.378,558850.65,1245.198,113.3
RPD,RPD04,8715563.454,558842.462,1244.989,40
RPD,RPD05,8715539.448,558829.719,1245.208,45
RPD,RPD06,8715627.85,558938.263,1250.484,50
RPD,RPD08,8715582.935,558911.623,1244.422,40
RPD,RPD11,8715517.271,558871.784,1244.89,40
RPD,RPD110,8715244.962,559295.387,1242.195,80
RPD,RPD112,8715187.097,559376.449,1244.274,70
RPD,RPD113,8715249.832,559467.666,1242.593,40
RPD,RPD114,8715230.156,559457.013,1242.552,61
RPD,RPD116,8715184.3,559431.635,1242.509,65
RPD,RPD119,8714423.499,560269.021,1270.945,313
RPD,RPD121,8714417.858,560265.451,1270.988,200
RPD,RPD123,8714355.565,560230.735,1272.788,300
RPD,RPD125,8714335.153,560221.953,1273.393,377
RPD,RPD127,8714407.584,560314.768,1270.69,203.7
RPD,RPD129,8714348.737,560272.537,1272.404,277.1
RPD ,RPD130,8714381.978,560294.586,1271.628,300.6
RPD,RPD146,8714917.252,559740.804,1239.986,215.5
RPD,RPD149,8714427.294,560327.171,1270.34,344.5
RPD,RPD19,8715514.377,558927.676,1244.535,60
RPD,RPD20,8715492.307,558915.725,1244.892,60
RPD,RPD22,8715459.954,558898.038,1244.753,32.1
RPD,RPD29,8715431.848,558937.223,1245.004,20
RPD,RPD32,8715465.956,559015.309,1244.705,120.4
RPD,RPD34,8715469.288,558959.922,1245.039,105
RPD,RPD35,8715399.493,559092.967,1243.106,96
RPD,RPD36,8715423.817,559104.655,1243.089,40
RPD,RPD38,8715458.843,559122.473,1243.766,70
RPD,RPD40,8715508.215,559150.005,1252.583,60
RPD,RPD41,8715352.53,559125.532,1244.953,43
RPD,RPD43,8715395.957,559147.901,1244.002,40
RPD,RPD44,8715421.686,559157.054,1243.76,53
RPD,RPD45,8715439.92,559167.232,1244.743,75
RPD,RPD46,8715280.655,559311.732,1241.704,70
RPD,RPD47,8715300.943,559323.261,1242.137,70
RPD,RPD48,8715260.674,559302.41,1241.95,85
RPD,RPD49,8715268.41,559365.546,1243.38,47
RPD,RPD50,8715256.707,559358.627,1243.49,81.5
RPD,RPD51,8715235.151,559343.25,1243.092,87.5
RPD,RPD52,8715267.147,559420.482,1242.583,50.5
RPD,RPD53,8715251.75,559412.181,1242.675,60
RPD,RPD55,8715209.373,559391.039,1243.331,70
RPD,RPD56,8715324.491,559280.067,1242.686,50.5
RPD,RPD58,8715289.997,559260.718,1242.445,70.5
RPD,RPD60,8715461.379,559241.613,1248.085,100
RPD,RPD66,8714448.974,560224.739,1271.029,279.7
RPD,RPD67,8714430.9,560212.5,1271.2,305.5
RPD,RPD75,8714585.651,560070.846,1267.415,270
RPD,RPD82,8714619.224,559976.233,1267.351,267
RPD,RPD86,8714671,559949,1268.4,202
RPD,RPD87,8714654,559940,1268.4,200
RSP,RSP01,8715716.035,558931.433,1283.713,163.9
RSP,RSP09,8715492.7,559029.667,1242.642,155.7
RSP,RSP10,8715410.048,559039.374,1243.772,86.5
RSP,RSP11,8715455.076,559059.036,1242.801,120
RSP,RSP15,8715346.407,559163.189,1239.96,113.5
RSP,RSP16,8715380.409,559189.913,1240.216,171.5
RSP,RSP17,8715338.118,559231.924,1239.671,155.7
RSP,RSP18,8715355.013,559240.52,1240.242,233.6
RSP,RSP19,8715149.454,559183.827,1283,251
RSP,RSP20,8715034.656,559211.115,1285.2,210.4
RSP,RSP21,8715077.051,559260.301,1287.285,173.5
RSP,RSP22,8715034.656,559293.268,1285.215,190
RSP,RSP24,8715718.374,558932.399,1283.592,185.5
RSP,RSP26,8715197.587,559099.6,1284.499,100
RSS,RSS02,8715504.606,559199.339,1251.984,80
RSS,RSS04,8715533.891,559096.781,1252.421,50
RSS,RSS05,8715524.97,558990.361,1249.663,54
RSS,RSS06,8715549.491,558947.572,1250.213,80
RSS,RSS07,8715445.162,559005.034,1249.48,40
RSS,RSS08,8715402.694,558982.868,1249.546,24.1
RSS,RSS10,8714532.628,560158.354,1270.379,131.3
RSS,RSS11,8714557.705,560113.4,1270.707,151
RSS,RSS12,8714580.344,560070.161,1271.374,159
RSS,RSS13,8714606.463,560023.863,1272.736,180
RSS,RSS14,8714628.07,559980.987,1273.92,188.6
RSS,RSS15,8714651.823,559938.207,1275.258,193.8
RSS,RSS17,8714693.124,559844.937,1277.167,153.2
RSS,RSS18,8714696.371,559961.145,1274.186,150
RSS,RSS20,8714745.47,559877.318,1276.179,135.2
RSS,RSS21,8714759.555,559769.459,1278.404,125.2
RSS,RSS22,8714488.318,560134.902,1271.582,187.3
RSS,RSS23,8714513.633,560090.123,1271.83,176
RSS,RSS24,8714536.354,560046.024,1273.034,208.1
RSS,RSS25,8714560.975,560001.049,1273.997,184.5
RSS,RSS26,8714465.092,560178.044,1271.364,163
RSS,RSS27,8715086.673,559662.669,1266.091,68.8
RSS,RSS28,8715021.909,559793.211,1264.341,43
RSS,RSS29,8715080.282,559604.174,1267.804,79.4
RSS,RSS30,8715037.347,559636.723,1270.331,87.6
RSS,RSS31,8715017.553,559681.506,1265.249,100
RSS,RSS32,8714985.776,559724.421,1265.601,100
RSS,RSS33,8714968.325,559768,1264.937,102
RSS,RSS34,8715023.052,559570.047,1267.21,94.4
RSS,RSS37,8714940.689,559696.854,1269.105,112.2
RSS,RSS39,8714980,559602,1267.2,83.3
RSS,RSS40,8714951.674,559645.996,1267.245,111
RSS,RSS41,8714906.986,559678.014,1272.153,115.1
RSS,RSS43,8715564.713,559009.919,1249.92,39
RSS,RSS47,8715507.898,559264.874,1252.736,65
RSS,RSS48,8715528.095,559280.25,1254.811,80
RSS,RSS49,8715169.211,559384.129,1275.484,104.3
RSS,RSS50,8715532.295,559332.685,1257.719,60
RSS,RSS53,8715145.415,559410.557,1279.547,118.8
RSS,RSS54,8715113.315,559450.583,1284.006,125.1
RSS,RSS55,8715138.259,559457.301,1281.937,98.3
RSS,RSS59,8714784.464,559843.176,1277.494,119
RSS,RSS60,8714819.435,559858.747,1276.864,126.2
RSS,RSS61,8714724.013,559807.901,1277.978,138
